REGION TYPE,REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Louisiana,2014,2,7.07513,2246,57,31745
States,Maine,2014,2,1.12581,57,31,5063
States,Maryland,2014,2,1.78191,209,24,11729
States,Massachusetts,2014,2,1.33203,396,57,29729
States,Michigan,2014,2,3.15222,427,57,13546
States,Minnesota,2014,2,2.51268,109,20,4338
States,Mississippi,2014,2,6.17894,1076,44,17414
States,Missouri,2014,2,3.97493,260,24,6541
States,Montana,2014,2,1.69348,40,7,2362
States,Nebraska,2014,2,1.77795,45,15,2531
States,Nevada,2014,2,3.22084,627,44,19467
States,New Hampshire,2014,2,0.826887,31,26,3749
States,New Jersey,2014,2,3.19855,318,25,9942
States,New Mexico,2014,2,5.8621,664,28,11327
States,New York,2014,2,1.99698,278,153,13921
States,North Carolina,2014,2,2.47585,364,52,14702
States,North Dakota,2014,2,2.66344,44,11,1652
States,Ohio,2014,2,1.83799,243,50,13221
States,Oklahoma,2014,2,6.94503,331,19,4766
States,Oregon,2014,2,3.47976,141,18,4052
States,Pennsylvania,2014,2,2.83613,243,45,8568
States,Rhode Island,2014,2,1.10585,56,20,5064
States,South Carolina,2014,2,2.16539,116,16,5357
States,South Dakota,2014,2,2.27707,131,24,5753
States,Tennessee,2014,2,5.68428,525,52,9236
States,Texas,2014,2,7.02738,3160,122,44967
States,Utah,2014,2,3.29272,673,45,20439
States,Vermont,2014,2,4.19244,122,10,2910
States,Virginia,2014,2,4.06224,3099,112,76288
States,Washington,2014,2,2.57345,127,15,4935
States,West Virginia,2014,2,3.49505,505,47,14449
States,Wisconsin,2014,2,2.11346,57,33,2697
States,Wyoming,2014,2,2.19116,116,23,5294
States,Puerto Rico,2014,2,3.48837,24,1,688
States,Virgin Islands,2014,2,3.49462,13,1,372
States,New York City,2014,2,2.93798,2783,70,94725
States,Alabama,2014,3,4.12286,451,27,10939
States,Alaska,2014,3,2.49351,48,8,1925
States,Arizona,2014,3,2.8169,844,61,29962
States,Arkansas,2014,3,6.18,309,16,5000
States,California,2014,3,4.57287,1903,140,41615
States,Colorado,2014,3,2.02414,488,11,24109
States,Connecticut,2014,3,1.56156,26,14,1665
States,Delaware,2014,3,2.40964,64,11,2656
States,District of Columbia,2014,3,8.77411,141,3,1607
States,Florida,2014,3,X,X,X,X
States,Georgia,2014,3,2.00119,637,42,31831
States,Hawaii,2014,3,3.38421,51,17,1507
States,Idaho,2014,3,4.17802,138,10,3303
States,Illinois,2014,3,2.99557,1712,103,57151
States,Indiana,2014,3,2.98864,263,39,8800
States,Iowa,2014,3,0.646956,214,21,33078
States,Kansas,2014,3,5.70495,384,33,6731
States,Kentucky,2014,3,1.60158,349,19,21791
States,Louisiana,2014,3,6.03897,1962,55,32489
States,Maine,2014,3,1.28159,71,32,5540
States,Maryland,2014,3,2.257,261,23,11564
States,Massachusetts,2014,3,1.82443,547,56,29982
States,Michigan,2014,3,2.44761,424,55,17323
States,Minnesota,2014,3,3.1093,130,18,4181
States,Mississippi,2014,3,5.18229,914,45,17637
States,Missouri,2014,3,3.3622,264,25,7852
States,Montana,2014,3,1.01585,25,8,2461
States,Nebraska,2014,3,1.97794,52,14,2629
States,Nevada,2014,3,2.63852,500,44,18950
States,New Hampshire,2014,3,0.977278,40,26,4093
States,New Jersey,2014,3,3.25342,323,26,9928
States,New Mexico,2014,3,5.23758,625,28,11933
States,New York,2014,3,2.80846,450,153,16023
States,North Carolina,2014,3,3.21006,592,56,18442
States,North Dakota,2014,3,2.56917,52,12,2024
States,Ohio,2014,3,1.69376,298,53,17594
States,Oklahoma,2014,3,7.63397,302,19,3956
States,Oregon,2014,3,3.30138,124,18,3756
States,Pennsylvania,2014,3,2.71894,335,47,12321
States,Rhode Island,2014,3,1.66634,84,20,5041
States,South Carolina,2014,3,1.14888,72,16,6267
States,South Dakota,2014,3,1.72071,104,24,6044
States,Tennessee,2014,3,5.08926,573,51,11259
States,Texas,2014,3,5.47173,2495,120,45598
States,Utah,2014,3,3.12789,575,42,18383
States,Vermont,2014,3,3.0185,93,10,3081
States,Virginia,2014,3,4.6483,3513,112,75576
States,Washington,2014,3,2.15034,117,15,5441
States,West Virginia,2014,3,4.12063,593,44,14391
States,Wisconsin,2014,3,2.14545,59,32,2750
States,Wyoming,2014,3,2.62159,145,23,5531
States,Puerto Rico,2014,3,3.31325,22,1,664
States,Virgin Islands,2014,3,1.5674,5,1,319
States,New York City,2014,3,3.1625,3062,69,96822
States,Alabama,2014,4,4.90589,576,29,11741
States,Alaska,2014,4,1.85097,39,9,2107
States,Arizona,2014,4,3.20993,874,60,27228
States,Arkansas,2014,4,6.45527,285,15,4415
States,California,2014,4,5.04872,2005,138,39713
States,Colorado,2014,4,1.79752,424,11,23588
States,Connecticut,2014,4,2.11538,66,14,3120
States,Delaware,2014,4,3.70828,60,11,1618
States,District of Columbia,2014,4,9.20716,108,3,1173
